ts,angle_0,angle_1
2.064,177.94349776352544,167.37194576699156
2.066,177.931442826943,167.04205311786066
2.068,177.94349776352544,166.6753669149988
2.07,177.94349776352544,166.59127505378336
2.072,177.65127032737172,166.16847786498877
2.074,177.65127032737172,165.70774855606285
2.076,177.65127032737172,165.59493252898017
2.078,177.65127032737172,165.08845891657313
2.08,177.3420383761123,164.83880897865123
2.082,177.3420383761123,164.59179531507127
2.084,177.357092792976,164.09177421170824
2.086,177.0476197579698,163.53152514904468
2.088,177.0476197579698,163.39277106444243
2.09,177.0476197579698,162.99302301780313
2.092,177.0476197579698,162.5916061907062
2.094,176.7532583165687,162.48595999694803
2.096,176.7532583165687,162.01557093492275
2.098,176.7532583165687,161.48871307944503
2.1,176.7532583165687,161.1763944665904
2.102,176.45920834906872,160.8681699665519
2.104,176.45920834906872,160.3889277032903
2.106,176.1652257826069,160.21343337787596
2.108,176.1652257826069,159.78181054207556
2.11,176.1652257826069,159.5491832282625
2.112,175.8716056042362,159.01595167364334
2.114,175.8716056042362,158.8065555754381
2.116,175.8716056042362,158.38326394255114
2.118,175.5780629664137,158.07554889993855
2.12,175.5777326248286,157.75258520037937
2.122,175.5777326248286,157.2055053083054
2.124,175.286566656991,157.24680525946252
2.126,175.286566656991,156.54895404967132
2.128,175.28259904967382,156.5027608799956
2.13,174.9915206647862,155.85441646958526
2.132,174.9915206647862,155.68198471138666
2.134,174.70089397794425,155.33347707013047
2.136,174.70089397794425,154.86931978374002
